เดือน,ยี่ห้อ,แบบรถ,รุ่นย่อย,ประเภท,จำนวน
2025-02,Honda,e:N1,e:N1,RY1,2474
2025-03,Honda,e:N1,e:N1,RY1,1504
2025-04,Honda,e:N1,e:N1,RY1,3233
2025-05,Honda,e:N1,e:N1,RY1,1578
2025-06,Honda,e:N1,,RY1,1610
2025-07,Honda,e:N1,,RY1,2167
2025-08,Honda,e:N1,e:N1,RY1,2402
2025-09,Honda,e:N1,e:N1,RY1,1931
2025-10,Honda,e:N1,,RY1,1380
2025-11,Honda,e:N1,,RY1,706
2025-12,Honda,e:N1,e:N1,RY1,1321
2023-01,Hyundai,Creta,,RY1,395
2023-02,Hyundai,Creta,,RY1,386
2023-03,Hyundai,Creta,1.5 SEL,RY1,136
2023-04,Hyundai,Creta,1.5 SEL,RY1,162
2023-05,Hyundai,Creta,,RY1,415
2023-06,Hyundai,Creta,1.5 SEL,RY1,315
2023-07,Hyundai,Creta,1.5 SEL,RY1,290
2023-08,Hyundai,Creta,,RY1,555
2023-09,Hyundai,Creta,,RY1,391
2023-10,Hyundai,Creta,,RY1,347
2023-11,Hyundai,Creta,1.5 SEL,RY1,244
2023-12,Hyundai,Creta,,RY1,394
2024-01,Hyundai,Creta,,RY1,460
2024-02,Hyundai,Creta,1.5 SEL,RY1,266
2024-03,Hyundai,Creta,,RY1,526
2024-04,Hyundai,Creta,,RY1,471
2024-05,Hyundai,Creta,1.5 SEL,RY1,336
2024-06,Hyundai,Creta,1.5 SEL,RY1,230
2024-07,Hyundai,Creta,1.5 SEL,RY1,436
2024-08,Hyundai,Creta,,RY1,227
2024-09,Hyundai,Creta,,RY1,222
2024-10,Hyundai,Creta,,RY1,426
2024-11,Hyundai,Creta,,RY1,118
2024-12,Hyundai,Creta,,RY1,186
2025-01,Hyundai,Creta,,RY1,217
2025-02,Hyundai,Creta,,RY1,280
2025-03,Hyundai,Creta,,RY1,452
2025-04,Hyundai,Creta,,RY1,297
2025-05,Hyundai,Creta,,RY1,381
2025-06,Hyundai,Creta,,RY1,265
2025-07,Hyundai,Creta,,RY1,328
2025-08,Hyundai,Creta,,RY1,100
2025-09,Hyundai,Creta,,RY1,319
2025-10,Hyundai,Creta,,RY1,284
2025-11,Hyundai,Creta,1.5 SEL,RY1,331
2025-12,Hyundai,Creta,1.5 SEL,RY1,358
2023-01,Hyundai,Stargazer,,RY1,508
2023-02,Hyundai,Stargazer,1.5 Smart,RY1,373
2023-03,Hyundai,Stargazer,,RY1,350
2023-04,Hyundai,Stargazer,1.5 Smart,RY1,451
2023-05,Hyundai,Stargazer,1.5 Smart,RY1,235
2023-06,Hyundai,Stargazer,1.5 Smart,RY1,341
2023-07,Hyundai,Stargazer,,RY1,344
2023-08,Hyundai,Stargazer,1.5 Smart,RY1,318
2023-09,Hyundai,Stargazer,,RY1,228
2023-10,Hyundai,Stargazer,,RY1,371
2023-11,Hyundai,Stargazer,1.5 Smart,RY1,370
2023-12,Hyundai,Stargazer,,RY1,395
2024-01,Hyundai,Stargazer,,RY1,218
2024-02,Hyundai,Stargazer,1.5 Smart,RY1,206
2024-03,Hyundai,Stargazer,,RY1,580
2024-04,Hyundai,Stargazer,,RY1,274
2024-05,Hyundai,Stargazer,1.5 Smart,RY1,282
2024-06,Hyundai,Stargazer,,RY1,317
2024-07,Hyundai,Stargazer,,RY1,290
2024-08,Hyundai,Stargazer,,RY1,450
2024-09,Hyundai,Stargazer,,RY1,325
2024-10,Hyundai,Stargazer,,RY1,347
2024-11,Hyundai,Stargazer,1.5 Smart,RY1,312
2024-12,Hyundai,Stargazer,,RY1,349
2025-01,Hyundai,Stargazer,,RY1,253
2025-02,Hyundai,Stargazer,1.5 Smart,RY1,302
2025-03,Hyundai,Stargazer,,RY1,394
2025-04,Hyundai,Stargazer,,RY1,155
2025-05,Hyundai,Stargazer,,RY1,230
2025-06,Hyundai,Stargazer,,RY1,363
2025-07,Hyundai,Stargazer,,RY1,197
2025-08,Hyundai,Stargazer,1.5 Smart,RY1,340
2025-09,Hyundai,Stargazer,,RY1,405
2025-10,Hyundai,Stargazer,,RY1,305
2025-11,Hyundai,Stargazer,,RY1,185
2025-12,Hyundai,Stargazer,,RY1,214
2023-01,Hyundai,Ioniq 5,,RY1,200
2023-02,Hyundai,Ioniq 5,,RY1,149
2023-03,Hyundai,Ioniq 5,,RY1,283
2023-04,Hyundai,Ioniq 5,,RY1,316
2023-05,Hyundai,Ioniq 5,,RY1,111
2023-06,Hyundai,Ioniq 5,,RY1,132
2023-07,Hyundai,Ioniq 5,Exclusive,RY1,199
2023-08,Hyundai,Ioniq 5,,RY1,293
2023-09,Hyundai,Ioniq 5,,RY1,193
2023-10,Hyundai,Ioniq 5,,RY1,236
2023-11,Hyundai,Ioniq 5,,RY1,236
2023-12,Hyundai,Ioniq 5,,RY1,200
2024-01,Hyundai,Ioniq 5,,RY1,285
2024-02,Hyundai,Ioniq 5,,RY1,219
2024-03,Hyundai,Ioniq 5,,RY1,212
2024-04,Hyundai,Ioniq 5,,RY1,220
2024-05,Hyundai,Ioniq 5,Exclusive,RY1,183
2024-06,Hyundai,Ioniq 5,,RY1,83
2024-07,Hyundai,Ioniq 5,,RY1,368
2024-08,Hyundai,Ioniq 5,,RY1,327
2024-09,Hyundai,Ioniq 5,,RY1,345
2024-10,Hyundai,Ioniq 5,Exclusive,RY1,251
2024-11,Hyundai,Ioniq 5,,RY1,285
2024-12,Hyundai,Ioniq 5,,RY1,344
2025-01,Hyundai,Ioniq 5,,RY1,300
2025-02,Hyundai,Ioniq 5,Exclusive,RY1,333
2025-03,Hyundai,Ioniq 5,Exclusive,RY1,244
2025-04,Hyundai,Ioniq 5,Exclusive,RY1,167
2025-05,Hyundai,Ioniq 5,,RY1,404
2025-06,Hyundai,Ioniq 5,,RY1,257
2025-07,Hyundai,Ioniq 5,Exclusive,RY1,356
2025-08,Hyundai,Ioniq 5,,RY1,356
2025-09,Hyundai,Ioniq 5,,RY1,341
2025-10,Hyundai,Ioniq 5,,RY1,295
2025-11,Hyundai,Ioniq 5,,RY1,303
2025-12,Hyundai,Ioniq 5,Exclusive,RY1,415
2023-06,Hyundai,Ioniq 6,,RY1,58
2023-07,Hyundai,Ioniq 6,Exclusive,RY1,134
2023-08,Hyundai,Ioniq 6,Exclusive,RY1,154
2023-09,Hyundai,Ioniq 6,Exclusive,RY1,176
2023-10,Hyundai,Ioniq 6,,RY1,96
2023-11,Hyundai,Ioniq 6,,RY1,111
2023-12,Hyundai,Ioniq 6,,RY1,134
2024-01,Hyundai,Ioniq 6,,RY1,121
2024-02,Hyundai,Ioniq 6,,RY1,109
2024-04,Hyundai,Ioniq 6,Exclusive,RY1,147
2024-05,Hyundai,Ioniq 6,Exclusive,RY1,129
2024-06,Hyundai,Ioniq 6,,RY1,101
2024-07,Hyundai,Ioniq 6,,RY1,77
2024-08,Hyundai,Ioniq 6,,RY1,88
2024-09,Hyundai,Ioniq 6,,RY1,90
2024-10,Hyundai,Ioniq 6,,RY1,89
2024-11,Hyundai,Ioniq 6,,RY1,88
2024-12,Hyundai,Ioniq 6,,RY1,98
2025-01,Hyundai,Ioniq 6,,RY1,87
2025-02,Hyundai,Ioniq 6,,RY1,84
2025-03,Hyundai,Ioniq 6,Exclusive,RY1,55
2025-04,Hyundai,Ioniq 6,Exclusive,RY1,49
2025-05,Hyundai,Ioniq 6,,RY1,120
2025-06,Hyundai,Ioniq 6,,RY1,103
2025-07,Hyundai,Ioniq 6,Exclusive,RY1,121
2025-08,Hyundai,Ioniq 6,Exclusive,RY1,52
2025-09,Hyundai,Ioniq 6,Exclusive,RY1,59
2025-10,Hyundai,Ioniq 6,,RY1,58
2025-11,Hyundai,Ioniq 6,,RY1,84
2025-12,Hyundai,Ioniq 6,,RY1,96
2023-01,Hyundai,Staria,,RY2,27
2023-02,Hyundai,Staria,,RY2,33
2023-03,Hyundai,Staria,,RY2,27
2023-04,Hyundai,Staria,,RY2,27
2023-05,Hyundai,Staria,2.2 D Premium,RY2,32
2023-06,Hyundai,Staria,,RY2,35
2023-07,Hyundai,Staria,,RY2,42
2023-08,Hyundai,Staria,,RY2,23
2023-09,Hyundai,Staria,2.2 D Premium,RY2,34
2023-10,Hyundai,Staria,2.2 D Premium,RY2,31
2023-11,Hyundai,Staria,2.2 D Premium,RY2,33
2023-12,Hyundai,Staria,2.2 D Premium,RY2,33
2024-01,Hyundai,Staria,2.2 D Premium,RY2,39
2024-02,Hyundai,Staria,,RY2,28
2024-03,Hyundai,Staria,,RY2,50
2024-04,Hyundai,Staria,,RY2,52
2024-05,Hyundai,Staria,2.2 D Premium,RY2,43
2024-06,Hyundai,Staria,,RY2,35
2024-07,Hyundai,Staria,2.2 D Premium,RY2,34
2024-08,Hyundai,Staria,,RY2,34
2024-09,Hyundai,Staria,,RY2,56
2024-10,Hyundai,Staria,,RY2,54
2024-11,Hyundai,Staria,2.2 D Premium,RY2,41
2024-12,Hyundai,Staria,,RY2,38
2025-01,Hyundai,Staria,2.2 D Premium,RY2,42
2025-02,Hyundai,Staria,2.2 D Premium,RY2,45
2025-03,Hyundai,Staria,,RY2,33
2025-04,Hyundai,Staria,,RY2,40
2025-05,Hyundai,Staria,,RY2,33
2025-06,Hyundai,Staria,,RY2,47
2025-07,Hyundai,Staria,2.2 D Premium,RY2,56
2025-08,Hyundai,Staria,,RY2,34
2025-09,Hyundai,Staria,2.2 D Premium,RY2,38
2025-10,Hyundai,Staria,2.2 D Premium,RY2,51
2025-11,Hyundai,Staria,2.2 D Premium,RY2,37
2025-12,Hyundai,Staria,2.2 D Premium,RY2,44
2023-01,Isuzu,D-Max,,RY3,3616
2023-02,Isuzu,D-Max,,RY3,9669
2023-03,Isuzu,D-Max,,RY3,4844
2023-04,Isuzu,D-Max,,RY3,5496
2023-05,Isuzu,D-Max,,RY3,6237
2023-06,Isuzu,D-Max,,RY3,8741
2023-07,Isuzu,D-Max,1.9 Hi-Lander Cab4,RY3,8792
2023-08,Isuzu,D-Max,3.0 V-Cross 4x4 Double Cab,RY3,3929
2023-09,Isuzu,D-Max,,RY3,10086
2023-10,Isuzu,D-Max,,RY3,5566
2023-11,Isuzu,D-Max,1.9 Spark Single Cab,RY3,4986
2023-12,Isuzu,D-Max,,RY3,6210
2024-01,Isuzu,D-Max,,RY3,8031
2024-02,Isuzu,D-Max,,RY3,5891
2024-03,Isuzu,D-Max,1.9 Hi-Lander Double Cab,RY3,6412
2024-04,Isuzu,D-Max,,RY3,7331
2024-05,Isuzu,D-Max,,RY3,2697
2024-06,Isuzu,D-Max,1.9 Hi-Lander Double Cab,RY3,4669
2024-07,Isuzu,D-Max,1.9 Hi-Lander Double Cab,RY3,4004
2024-08,Isuzu,D-Max,,RY3,4335
2024-09,Isuzu,D-Max,,RY3,7399
2024-10,Isuzu,D-Max,,RY3,6305
2024-11,Isuzu,D-Max,,RY3,8063
2024-12,Isuzu,D-Max,,RY3,6993
2025-01,Isuzu,D-Max,,RY3,3578
2025-02,Isuzu,D-Max,,RY3,8415
2025-03,Isuzu,D-Max,1.9 Hi-Lander Double Cab,RY3,7573
2025-04,Isuzu,D-Max,1.9 Spark Single Cab,RY3,7590
2025-05,Isuzu,D-Max,1.9 Hi-Lander Double Cab,RY3,7276
2025-06,Isuzu,D-Max,,RY3,6088
2025-07,Isuzu,D-Max,1.9 Spark Single Cab,RY3,9940
2025-08,Isuzu,D-Max,1.9 Hi-Lander Cab4,RY3,5273
2025-09,Isuzu,D-Max,,RY3,5844
2025-10,Isuzu,D-Max,,RY3,10619
2025-11,Isuzu,D-Max,,RY3,8755
2025-12,Isuzu,D-Max,1.9 Spark Single Cab,RY3,9464
2023-01,Isuzu,MU-X,,RY1,1336
2023-02,Isuzu,MU-X,,RY1,1038
2023-03,Isuzu,MU-X,,RY1,318
2023-04,Isuzu,MU-X,,RY1,987
2023-05,Isuzu,MU-X,,RY1,1151
2023-06,Isuzu,MU-X,3.0 Ultimate 4x4,RY1,855
2023-07,Isuzu,MU-X,,RY1,1133
2023-08,Isuzu,MU-X,,RY1,864
2023-09,Isuzu,MU-X,,RY1,555
2023-10,Isuzu,MU-X,,RY1,812
2023-11,Isuzu,MU-X,,RY1,916
2023-12,Isuzu,MU-X,,RY1,826
2024-01,Isuzu,MU-X,,RY1,285
2024-02,Isuzu,MU-X,,RY1,1339
2024-03,Isuzu,MU-X,,RY1,801
2024-04,Isuzu,MU-X,,RY1,1076
2024-05,Isuzu,MU-X,3.0 Ultimate 4x4,RY1,1009
2024-06,Isuzu,MU-X,,RY1,942
2024-07,Isuzu,MU-X,1.9 Active,RY1,1314
2024-08,Isuzu,MU-X,,RY1,1020
2024-09,Isuzu,MU-X,,RY1,1316
2024-10,Isuzu,MU-X,1.9 Active,RY1,1248
2024-11,Isuzu,MU-X,,RY1,1642
2024-12,Isuzu,MU-X,3.0 Ultimate 4x4,RY1,1382
2025-01,Isuzu,MU-X,1.9 Active,RY1,1150
2025-02,Isuzu,MU-X,1.9 Active,RY1,1680
2025-03,Isuzu,MU-X,,RY1,1139
2025-04,Isuzu,MU-X,,RY1,1397
2025-05,Isuzu,MU-X,,RY1,1238
2025-06,Isuzu,MU-X,,RY1,1292
2025-07,Isuzu,MU-X,1.9 Active,RY1,1104
2025-08,Isuzu,MU-X,,RY1,1387
2025-09,Isuzu,MU-X,1.9 Active,RY1,1062
2025-10,Isuzu,MU-X,1.9 Active,RY1,1274
2025-11,Isuzu,MU-X,,RY1,978
2025-12,Isuzu,MU-X,,RY1,1331
2023-01,Kia,Carnival,,RY2,26
2023-02,Kia,Carnival,,RY2,14
2023-03,Kia,Carnival,2.2 D SXL,RY2,33
2023-04,Kia,Carnival,,RY2,27
2023-05,Kia,Carnival,2.2 D SXL,RY2,38
2023-06,Kia,Carnival,,RY2,37
2023-07,Kia,Carnival,,RY2,21
2023-08,Kia,Carnival,2.2 D SXL,RY2,27
2023-09,Kia,Carnival,,RY2,30
2023-10,Kia,Carnival,2.2 D SXL,RY2,32
2023-11,Kia,Carnival,,RY2,41
2023-12,Kia,Carnival,,RY2,21
2024-01,Kia,Carnival,,RY2,40
2024-02,Kia,Carnival,2.2 D SXL,RY2,56
2024-03,Kia,Carnival,,RY2,52
2024-04,Kia,Carnival,,RY2,10
2024-05,Kia,Carnival,,RY2,28
2024-06,Kia,Carnival,,RY2,32
2024-07,Kia,Carnival,2.2 D SXL,RY2,31
2024-08,Kia,Carnival,2.2 D SXL,RY2,53
2024-09,Kia,Carnival,,RY2,40
2024-10,Kia,Carnival,,RY2,40
2024-11,Kia,Carnival,2.2 D SXL,RY2,33
2024-12,Kia,Carnival,2.2 D SXL,RY2,39
2025-01,Kia,Carnival,,RY2,42
2025-02,Kia,Carnival,2.2 D SXL,RY2,38
2025-03,Kia,Carnival,2.2 D SXL,RY2,41
2025-04,Kia,Carnival,,RY2,32
2025-05,Kia,Carnival,,RY2,36
2025-06,Kia,Carnival,,RY2,23
2025-07,Kia,Carnival,,RY2,36
2025-08,Kia,Carnival,,RY2,23
2025-09,Kia,Carnival,,RY2,31
2025-10,Kia,Carnival,,RY2,19
2025-11,Kia,Carnival,,RY2,34
2025-12,Kia,Carnival,,RY2,47
2023-01,Kia,EV6,,RY1,165
2023-02,Kia,EV6,,RY1,173
2023-03,Kia,EV6,,RY1,194
2023-04,Kia,EV6,,RY1,183
2023-05,Kia,EV6,GT-Line,RY1,222
2023-06,Kia,EV6,GT-Line,RY1,279
2023-07,Kia,EV6,,RY1,179
2023-08,Kia,EV6,GT-Line,RY1,28
2023-09,Kia,EV6,,RY1,261
2023-10,Kia,EV6,GT-Line,RY1,250
2023-11,Kia,EV6,,RY1,99
2023-12,Kia,EV6,GT-Line,RY1,228
2024-01,Kia,EV6,GT-Line,RY1,270
2024-02,Kia,EV6,GT-Line,RY1,162
2024-03,Kia,EV6,GT-Line,RY1,215
2024-04,Kia,EV6,,RY1,100
2024-05,Kia,EV6,GT-Line,RY1,132
2024-06,Kia,EV6,,RY1,217
2024-07,Kia,EV6,GT-Line,RY1,157
2024-08,Kia,EV6,,RY1,185
2024-09,Kia,EV6,,RY1,217
2024-10,Kia,EV6,,RY1,150
2024-11,Kia,EV6,,RY1,278
2024-12,Kia,EV6,,RY1,144
2025-01,Kia,EV6,GT-Line,RY1,137
2025-02,Kia,EV6,,RY1,273
2025-03,Kia,EV6,GT-Line,RY1,249
2025-04,Kia,EV6,GT-Line,RY1,278
2025-05,Kia,EV6,,RY1,63
2025-06,Kia,EV6,GT-Line,RY1,236
2025-07,Kia,EV6,,RY1,173
2025-08,Kia,EV6,,RY1,210
2025-09,Kia,EV6,,RY1,147
2025-10,Kia,EV6,,RY1,240
2025-11,Kia,EV6,GT-Line,RY1,115
2025-12,Kia,EV6,,RY1,202
2024-01,Kia,EV9,,RY1,25
2024-02,Kia,EV9,,RY1,20
2024-03,Kia,EV9,GT-Line AWD,RY1,44
2024-04,Kia,EV9,GT-Line AWD,RY1,34
2024-05,Kia,EV9,,RY1,29
2024-06,Kia,EV9,,RY1,32
2024-07,Kia,EV9,,RY1,20
2024-08,Kia,EV9,,RY1,32
2024-09,Kia,EV9,,RY1,46
2024-10,Kia,EV9,GT-Line AWD,RY1,39
2024-11,Kia,EV9,,RY1,40
2024-12,Kia,EV9,,RY1,36
2025-01,Kia,EV9,GT-Line AWD,RY1,50
2025-02,Kia,EV9,,RY1,40
2025-03,Kia,EV9,,RY1,50
2025-04,Kia,EV9,GT-Line AWD,RY1,40
2025-05,Kia,EV9,GT-Line AWD,RY1,51
2025-06,Kia,EV9,,RY1,34
2025-07,Kia,EV9,,RY1,53
2025-08,Kia,EV9,,RY1,40
2025-09,Kia,EV9,,RY1,52
2025-10,Kia,EV9,,RY1,38
2025-11,Kia,EV9,,RY1,48
2025-12,Kia,EV9,,RY1,38
2023-01,Lexus,ES,,RY1,20
2023-02,Lexus,ES,,RY1,31
2023-03,Lexus,ES,ES300h Grand Luxury,RY1,22
2023-04,Lexus,ES,,RY1,28
2023-05,Lexus,ES,,RY1,25
2023-06,Lexus,ES,,RY1,36
2023-07,Lexus,ES,,RY1,36
2023-08,Lexus,ES,,RY1,30
2023-09,Lexus,ES,ES300h Grand Luxury,RY1,22
2023-10,Lexus,ES,,RY1,17
2023-11,Lexus,ES,,RY1,15
2023-12,Lexus,ES,,RY1,30
2024-01,Lexus,ES,ES300h Grand Luxury,RY1,29
2024-02,Lexus,ES,ES300h Grand Luxury,RY1,28
2024-03,Lexus,ES,ES300h Grand Luxury,RY1,29
2024-04,Lexus,ES,ES300h Grand Luxury,RY1,15
2024-05,Lexus,ES,,RY1,33
2024-06,Lexus,ES,ES300h Grand Luxury,RY1,28
2024-07,Lexus,ES,ES300h Grand Luxury,RY1,11
2024-08,Lexus,ES,,RY1,18
2024-09,Lexus,ES,,RY1,28
2024-10,Lexus,ES,,RY1,36
2024-11,Lexus,ES,,RY1,36
2024-12,Lexus,ES,,RY1,22
2025-01,Lexus,ES,,RY1,21
2025-02,Lexus,ES,ES300h Grand Luxury,RY1,28
2025-03,Lexus,ES,,RY1,24
2025-04,Lexus,ES,,RY1,16
2025-05,Lexus,ES,,RY1,13
2025-06,Lexus,ES,,RY1,19
2025-07,Lexus,ES,ES300h Grand Luxury,RY1,20
2025-08,Lexus,ES,,RY1,4
2025-09,Lexus,ES,ES300h Grand Luxury,RY1,17
2025-10,Lexus,ES,,RY1,43
2025-11,Lexus,ES,,RY1,29
2025-12,Lexus,ES,,RY1,25
2023-01,Lexus,NX,,RY1,66
2023-02,Lexus,NX,NX350h Premium,RY1,145
2023-03,Lexus,NX,NX350h Premium,RY1,87
2023-04,Lexus,NX,NX350h Premium,RY1,96
2023-05,Lexus,NX,NX350h Premium,RY1,83
2023-06,Lexus,NX,,RY1,96
2023-07,Lexus,NX,NX350h Premium,RY1,68
2023-08,Lexus,NX,,RY1,129
2023-09,Lexus,NX,,RY1,56
2023-10,Lexus,NX,,RY1,133
2023-11,Lexus,NX,,RY1,134
2023-12,Lexus,NX,,RY1,41
2024-01,Lexus,NX,NX350h Premium,RY1,90
2024-02,Lexus,NX,,RY1,138
2024-03,Lexus,NX,,RY1,161
2024-04,Lexus,NX,,RY1,91
2024-05,Lexus,NX,NX350h Premium,RY1,119
2024-06,Lexus,NX,,RY1,108
2024-07,Lexus,NX,,RY1,145
2024-08,Lexus,NX,NX350h Premium,RY1,183
2024-09,Lexus,NX,NX350h Premium,RY1,107
2024-10,Lexus,NX,NX350h Premium,RY1,126
2024-11,Lexus,NX,NX350h Premium,RY1,85
2024-12,Lexus,NX,,RY1,163
2025-01,Lexus,NX,,RY1,153
2025-02,Lexus,NX,NX350h Premium,RY1,111
2025-03,Lexus,NX,,RY1,106
2025-04,Lexus,NX,,RY1,106
2025-05,Lexus,NX,,RY1,139
2025-06,Lexus,NX,,RY1,172
2025-07,Lexus,NX,NX350h Premium,RY1,152
2025-08,Lexus,NX,,RY1,135
2025-09,Lexus,NX,NX350h Premium,RY1,163
2025-10,Lexus,NX,,RY1,177
2025-11,Lexus,NX,,RY1,109
2025-12,Lexus,NX,NX350h Premium,RY1,170
2023-01,Lexus,RX,RX350h Premium,RY1,32
2023-02,Lexus,RX,RX350h Premium,RY1,44
2023-03,Lexus,RX,,RY1,32
2023-04,Lexus,RX,RX350h Premium,RY1,38
2023-05,Lexus,RX,,RY1,39
2023-06,Lexus,RX,,RY1,29
2023-07,Lexus,RX,,RY1,38
2023-08,Lexus,RX,RX350h Premium,RY1,30
2023-09,Lexus,RX,RX350h Premium,RY1,18
2023-10,Lexus,RX,RX350h Premium,RY1,37
2023-11,Lexus,RX,,RY1,30
2023-12,Lexus,RX,,RY1,50
2024-01,Lexus,RX,,RY1,17
2024-02,Lexus,RX,,RY1,30
2024-03,Lexus,RX,RX350h Premium,RY1,34
2024-04,Lexus,RX,,RY1,36
2024-05,Lexus,RX,,RY1,34
2024-06,Lexus,RX,,RY1,24
2024-07,Lexus,RX,,RY1,49
2024-08,Lexus,RX,,RY1,24
2024-09,Lexus,RX,,RY1,37
2024-10,Lexus,RX,,RY1,28
2024-11,Lexus,RX,,RY1,46
2024-12,Lexus,RX,,RY1,44
2025-01,Lexus,RX,,RY1,36
2025-02,Lexus,RX,,RY1,32
2025-03,Lexus,RX,,RY1,47
2025-04,Lexus,RX,RX350h Premium,RY1,31
2025-05,Lexus,RX,RX350h Premium,RY1,44
2025-06,Lexus,RX,RX350h Premium,RY1,32
2025-07,Lexus,RX,,RY1,48
2025-08,Lexus,RX,RX350h Premium,RY1,48
2025-09,Lexus,RX,,RY1,50
2025-10,Lexus,RX,,RY1,45
2025-11,Lexus,RX,,RY1,34
2025-12,Lexus,RX,RX350h Premium,RY1,32
2024-01,Lexus,LM,,RY1,27
2024-02,Lexus,LM,,RY1,27
2024-03,Lexus,LM,,RY1,32
2024-04,Lexus,LM,,RY1,29
2024-05,Lexus,LM,,RY1,34
2024-06,Lexus,LM,,RY1,17
2024-07,Lexus,LM,,RY1,22
2024-08,Lexus,LM,,RY1,22
2024-09,Lexus,LM,,RY1,40
2024-10,Lexus,LM,,RY1,21
2024-11,Lexus,LM,,RY1,23
2024-12,Lexus,LM,,RY1,34
2025-01,Lexus,LM,LM350h Executive,RY1,32
2025-02,Lexus,LM,LM350h Executive,RY1,22
2025-03,Lexus,LM,,RY1,30
2025-04,Lexus,LM,LM350h Executive,RY1,22
2025-05,Lexus,LM,,RY1,16
2025-06,Lexus,LM,,RY1,24
2025-07,Lexus,LM,,RY1,29
2025-08,Lexus,LM,LM350h Executive,RY1,42
2025-09,Lexus,LM,LM350h Executive,RY1,26
2025-10,Lexus,LM,LM350h Executive,RY1,22
2025-11,Lexus,LM,,RY1,35
2025-12,Lexus,LM,,RY1,17
2023-01,Mazda,Mazda2,1.3 SP Hatchback,RY1,589
2023-02,Mazda,Mazda2,,RY1,504
2023-03,Mazda,Mazda2,,RY1,607
2023-04,Mazda,Mazda2,1.3 SP Hatchback,RY1,278
2023-05,Mazda,Mazda2,,RY1,427
2023-06,Mazda,Mazda2,1.3 SP Hatchback,RY1,385
2023-07,Mazda,Mazda2,,RY1,660
2023-08,Mazda,Mazda2,,RY1,469
2023-09,Mazda,Mazda2,,RY1,618
2023-10,Mazda,Mazda2,1.3 S Sedan,RY1,506
2023-11,Mazda,Mazda2,,RY1,501
2023-12,Mazda,Mazda2,,RY1,616
2024-01,Mazda,Mazda2,,RY1,564
2024-02,Mazda,Mazda2,1.3 S Sedan,RY1,618
2024-03,Mazda,Mazda2,,RY1,607
2024-04,Mazda,Mazda2,,RY1,750
2024-05,Mazda,Mazda2,1.3 S Sedan,RY1,761
2024-06,Mazda,Mazda2,,RY1,845
2024-07,Mazda,Mazda2,1.3 S Sedan,RY1,302
2024-08,Mazda,Mazda2,,RY1,741
2024-09,Mazda,Mazda2,,RY1,747
2024-10,Mazda,Mazda2,,RY1,765
2024-11,Mazda,Mazda2,,RY1,803
2024-12,Mazda,Mazda2,,RY1,752
2025-01,Mazda,Mazda2,,RY1,951
2025-02,Mazda,Mazda2,1.3 S Sedan,RY1,625
2025-03,Mazda,Mazda2,1.3 SP Hatchback,RY1,659
2025-04,Mazda,Mazda2,,RY1,772
2025-05,Mazda,Mazda2,1.3 S Sedan,RY1,620
2025-06,Mazda,Mazda2,1.3 S Sedan,RY1,895
2025-07,Mazda,Mazda2,,RY1,439
2025-08,Mazda,Mazda2,,RY1,785
2025-09,Mazda,Mazda2,,RY1,699
2025-10,Mazda,Mazda2,1.3 SP Hatchback,RY1,693
2025-11,Mazda,Mazda2,,RY1,593
2025-12,Mazda,Mazda2,,RY1,877
2023-01,Mazda,Mazda3,,RY1,366
2023-02,Mazda,Mazda3,2.0 SP,RY1,663
2023-03,Mazda,Mazda3,2.0 SP,RY1,419
2023-04,Mazda,Mazda3,,RY1,252
2023-05,Mazda,Mazda3,2.0 SP,RY1,456
2023-06,Mazda,Mazda3,2.0 SP,RY1,472
2023-07,Mazda,Mazda3,,RY1,265
2023-08,Mazda,Mazda3,2.0 SP,RY1,340
2023-09,Mazda,Mazda3,2.0 SP,RY1,474
2023-10,Mazda,Mazda3,,RY1,370
2023-11,Mazda,Mazda3,,RY1,208
2023-12,Mazda,Mazda3,2.0 SP,RY1,453
2024-01,Mazda,Mazda3,2.0 SP,RY1,283
2024-02,Mazda,Mazda3,,RY1,435
2024-03,Mazda,Mazda3,2.0 SP,RY1,336
2024-04,Mazda,Mazda3,,RY1,404
2024-05,Mazda,Mazda3,2.0 SP,RY1,507
2024-06,Mazda,Mazda3,,RY1,383
2024-07,Mazda,Mazda3,,RY1,248
2024-08,Mazda,Mazda3,,RY1,328
2024-09,Mazda,Mazda3,2.0 SP,RY1,363
2024-10,Mazda,Mazda3,,RY1,403
2024-11,Mazda,Mazda3,,RY1,543
2024-12,Mazda,Mazda3,,RY1,403
2025-01,Mazda,Mazda3,2.0 SP,RY1,79
2025-02,Mazda,Mazda3,,RY1,466
2025-03,Mazda,Mazda3,,RY1,504
2025-04,Mazda,Mazda3,,RY1,143
2025-05,Mazda,Mazda3,,RY1,276
2025-06,Mazda,Mazda3,2.0 SP,RY1,400
2025-07,Mazda,Mazda3,2.0 SP,RY1,514
2025-08,Mazda,Mazda3,,RY1,505
2025-09,Mazda,Mazda3,,RY1,320
2025-10,Mazda,Mazda3,2.0 SP,RY1,510
2025-11,Mazda,Mazda3,,RY1,360
2025-12,Mazda,Mazda3,,RY1,579
2023-01,Mazda,CX-3,2.0 Base Plus,RY1,391
2023-02,Mazda,CX-3,2.0 Base Plus,RY1,439
2023-03,Mazda,CX-3,,RY1,1092
2023-04,Mazda,CX-3,,RY1,402
2023-05,Mazda,CX-3,,RY1,964
2023-06,Mazda,CX-3,,RY1,682
