เดือน,ยี่ห้อ,แบบรถ,รุ่นย่อย,จำนวน
2026-04,Toyota,Corolla Cross,1.8 HEV Premium,2542
2026-05,Toyota,Corolla Cross,1.8 HEV Premium,3481
2026-06,Toyota,Corolla Cross,,4086
2026-07,Toyota,Corolla Cross,1.8 Smart,3472
2026-08,Toyota,Corolla Cross,1.8 HEV Smart,3150
2026-09,Toyota,Corolla Cross,,4162
2026-10,Toyota,Corolla Cross,,4685
2026-11,Toyota,Corolla Cross,1.8 HEV Smart,4464
2026-12,Toyota,Corolla Cross,1.8 HEV Smart,2265
2026-01,Toyota,Yaris Cross,1.5 HEV Premium Luxury,3152
2026-02,Toyota,Yaris Cross,,3538
2026-03,Toyota,Yaris Cross,,4866
2026-04,Toyota,Yaris Cross,,3001
2026-05,Toyota,Yaris Cross,,3075
2026-06,Toyota,Yaris Cross,1.5 HEV Premium Luxury,2786
2026-07,Toyota,Yaris Cross,,5193
2026-08,Toyota,Yaris Cross,,4088
2026-09,Toyota,Yaris Cross,,4817
2026-10,Toyota,Yaris Cross,1.5 HEV Smart,4753
2026-11,Toyota,Yaris Cross,1.5 HEV Premium Luxury,2047
2026-12,Toyota,Yaris Cross,,3689
2026-01,Toyota,Fortuner,,1008
2026-02,Toyota,Fortuner,,1132
2026-03,Toyota,Fortuner,,1455
2026-04,Toyota,Fortuner,,1218
2026-05,Toyota,Fortuner,,1282
2026-06,Toyota,Fortuner,2.8 Legender 4x2,957
2026-07,Toyota,Fortuner,2.8 GR Sport 4x4,1074
2026-08,Toyota,Fortuner,,1490
2026-09,Toyota,Fortuner,,1570
2026-10,Toyota,Fortuner,2.4 V 4x2,1164
2026-11,Toyota,Fortuner,,1152
2026-12,Toyota,Fortuner,,403
2026-01,Toyota,Hilux Revo,,4685
2026-02,Toyota,Hilux Revo,,3161
2026-03,Toyota,Hilux Revo Double Cab,,2280
2026-04,Toyota,Hilux Revo,,3446
2026-05,Toyota,Hilux Revo,,3818
2026-06,Toyota,Hilux Revo Double Cab,2.8 GR Sport 4x4,2419
2026-07,Toyota,Hilux Revo Double Cab,2.8 GR Sport 4x4,3475
2026-08,Toyota,Hilux Revo,,1520
2026-09,Toyota,Hilux Revo,,6020
2026-10,Toyota,Hilux Revo Double Cab,2.8 GR Sport 4x4,2391
2026-11,Toyota,Hilux Revo Double Cab,,4277
2026-12,Toyota,Hilux Revo Double Cab,,4678
2026-01,Toyota,Innova Zenix,,1170
2026-02,Toyota,Innova Zenix,,1211
2026-03,Toyota,Innova Zenix,2.0 HEV Premium,1325
2026-04,Toyota,Innova Zenix,,1454
2026-05,Toyota,Innova Zenix,,1516
2026-06,Toyota,Innova Zenix,,1775
2026-07,Toyota,Innova Zenix,,1178
2026-08,Toyota,Innova Zenix,,1237
2026-09,Toyota,Innova Zenix,,1788
2026-10,Toyota,Innova Zenix,2.0 HEV Premium,1587
2026-11,Toyota,Innova Zenix,,1604
2026-12,Toyota,Innova Zenix,,1293
2026-01,Toyota,Veloz,,3749
2026-02,Toyota,Veloz,,3996
2026-03,Toyota,Veloz,,4808
2026-04,Toyota,Veloz,,4776
2026-05,Toyota,Veloz,1.5 Premium,4891
2026-06,Toyota,Veloz,1.5 Premium,5324
2026-07,Toyota,Veloz,1.5 Premium,4231
2026-08,Toyota,Veloz,,5605
2026-09,Toyota,Veloz,,5089
2026-10,Toyota,Veloz,1.5 Premium,5018
2026-11,Toyota,Veloz,,4172
2026-12,Toyota,Veloz,,4854
2026-01,Toyota,Alphard,2.5 HEV Executive Lounge,296
2026-02,Toyota,Alphard,,444
2026-03,Toyota,Alphard,2.5 HEV Executive Lounge,252
2026-04,Toyota,Alphard,,383
2026-05,Toyota,Alphard,2.5 HEV Executive Lounge,358
2026-06,Toyota,Alphard,2.5 HEV Executive Lounge,319
2026-07,Toyota,Alphard,,321
2026-08,Toyota,Alphard,,331
2026-09,Toyota,Alphard,,391
2026-10,Toyota,Alphard,,163
2026-11,Toyota,Alphard,,160
2026-12,Toyota,Alphard,2.5 HEV Executive Lounge,211
2026-01,Toyota,bZ4X,Premium,1018
2026-02,Toyota,bZ4X,Premium,4023
2026-03,Toyota,bZ4X,,2536
2026-04,Toyota,bZ4X,Premium,3236
2026-05,Toyota,bZ4X,,2837
2026-06,Toyota,bZ4X,Premium,2776
2026-07,Toyota,bZ4X,,2318
2026-08,Toyota,bZ4X,,2986
2026-09,Toyota,bZ4X,,3485
2026-10,Toyota,bZ4X,,1776
2026-11,Toyota,bZ4X,,3062
2026-12,Toyota,bZ4X,,2545
2026-01,Toyota,Land Cruiser 300,,275
2026-02,Toyota,Land Cruiser 300,,421
2026-03,Toyota,Land Cruiser 300,3.3 D VX,397
2026-04,Toyota,Land Cruiser 300,3.3 D VX,512
2026-05,Toyota,Land Cruiser 300,,343
2026-06,Toyota,Land Cruiser 300,,186
2026-07,Toyota,Land Cruiser 300,3.3 D VX,434
2026-08,Toyota,Land Cruiser 300,,411
2026-09,Toyota,Land Cruiser 300,,264
2026-10,Toyota,Land Cruiser 300,,401
2026-11,Toyota,Land Cruiser 300,,446
2026-12,Toyota,Land Cruiser 300,,379
2026-01,Volvo,XC40,,250
2026-02,Volvo,XC40,,203
2026-03,Volvo,XC40,,225
2026-04,Volvo,XC40,,212
2026-05,Volvo,XC40,,177
2026-06,Volvo,XC40,Recharge Pure Electric,158
2026-07,Volvo,XC40,,254
2026-08,Volvo,XC40,,153
2026-09,Volvo,XC40,Recharge Pure Electric,111
2026-10,Volvo,XC40,,266
2026-11,Volvo,XC40,,219
2026-12,Volvo,XC40,,198
2026-01,Volvo,XC60,,88
2026-02,Volvo,XC60,T8 Recharge Ultimate,65
2026-03,Volvo,XC60,,122
2026-04,Volvo,XC60,T8 Recharge Ultimate,129
2026-05,Volvo,XC60,T8 Recharge Ultimate,180
2026-06,Volvo,XC60,,100
2026-07,Volvo,XC60,T8 Recharge Ultimate,131
2026-08,Volvo,XC60,,182
2026-09,Volvo,XC60,,156
2026-10,Volvo,XC60,,159
2026-11,Volvo,XC60,,143
2026-12,Volvo,XC60,T8 Recharge Ultimate,159
2026-01,Volvo,XC90,T8 Recharge Ultimate,39
2026-02,Volvo,XC90,,31
2026-03,Volvo,XC90,,42
2026-04,Volvo,XC90,T8 Recharge Ultimate,22
2026-05,Volvo,XC90,,40
2026-06,Volvo,XC90,,29
2026-07,Volvo,XC90,T8 Recharge Ultimate,25
2026-08,Volvo,XC90,T8 Recharge Ultimate,47
2026-09,Volvo,XC90,,26
2026-10,Volvo,XC90,,33
2026-11,Volvo,XC90,T8 Recharge Ultimate,42
2026-12,Volvo,XC90,,31
2026-01,Volvo,EX30,Ultra Single Motor,419
2026-02,Volvo,EX30,,185
2026-03,Volvo,EX30,Ultra Single Motor,253
2026-04,Volvo,EX30,Ultra Single Motor,314
2026-05,Volvo,EX30,,319
2026-06,Volvo,EX30,Ultra Single Motor,411
2026-07,Volvo,EX30,Ultra Single Motor,339
2026-08,Volvo,EX30,,249
2026-09,Volvo,EX30,,271
2026-10,Volvo,EX30,,401
2026-11,Volvo,EX30,Ultra Single Motor,349
2026-12,Volvo,EX30,,320
2026-01,XPeng,XPeng G6,Long Range,60
2026-02,XPeng,XPeng G6,,117
2026-03,XPeng,XPeng G6,,132
2026-04,XPeng,XPeng G6,,131
2026-05,XPeng,XPeng G6,,85
2026-06,XPeng,XPeng G6,,69
2026-07,XPeng,XPeng G6,,96
2026-08,XPeng,XPeng G6,,75
2026-09,XPeng,XPeng G6,,78
2026-10,XPeng,XPeng G6,Long Range,167
2026-11,XPeng,XPeng G6,,138
2026-12,XPeng,XPeng G6,Long Range,66
2026-01,Zeekr,Zeekr X,,493
2026-02,Zeekr,Zeekr X,,282
2026-03,Zeekr,Zeekr X,,210
2026-04,Zeekr,Zeekr X,,269
2026-05,Zeekr,Zeekr X,Long Range RWD,267
2026-06,Zeekr,Zeekr X,,140
2026-07,Zeekr,Zeekr X,Long Range RWD,337
2026-08,Zeekr,Zeekr X,,231
2026-09,Zeekr,Zeekr X,Long Range RWD,296
2026-10,Zeekr,Zeekr X,Long Range RWD,372
2026-11,Zeekr,Zeekr X,Long Range RWD,373
2026-12,Zeekr,Zeekr X,Long Range RWD,70
2026-01,Zeekr,Zeekr 009,,16
2026-02,Zeekr,Zeekr 009,Long Range,18
2026-03,Zeekr,Zeekr 009,Long Range,36
2026-04,Zeekr,Zeekr 009,,14
2026-05,Zeekr,Zeekr 009,,37
2026-06,Zeekr,Zeekr 009,,31
2026-07,Zeekr,Zeekr 009,,30
2026-08,Zeekr,Zeekr 009,,35
2026-09,Zeekr,Zeekr 009,,38
2026-10,Zeekr,Zeekr 009,,37
2026-11,Zeekr,Zeekr 009,Long Range,33
2026-12,Zeekr,Zeekr 009,,28
2026-01,DEEPAL,S05,,165
2026-04,DEEPAL,S05,,86
2026-07,DEEPAL,S05,,40
2026-10,DEEPAL,S05,,179
2026-01,WULING,BINGO EV,,63
2026-04,WULING,BINGO EV,,136
2026-07,WULING,BINGO EV,,232
2026-10,WULING,BINGO EV,,189
2026-01,JETOUR,DASHING,,148
2026-04,JETOUR,DASHING,,38
2026-07,JETOUR,DASHING,,255
2026-10,JETOUR,DASHING,,155
2026-01,FOTON,TUNLAND G7,,128
2026-04,FOTON,TUNLAND G7,,52
2026-07,FOTON,TUNLAND G7,,93
2026-10,FOTON,TUNLAND G7,,197
2026-01,,รถยนต์นั่งอื่น ๆ,,172
2026-04,,รถยนต์นั่งอื่น ๆ,,113
2026-07,,รถยนต์นั่งอื่น ๆ,,209
2026-10,,รถยนต์นั่งอื่น ๆ,,84
